Perturbation,nAcid,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nSpiro,nBridgehead,nHetero,BertzCT,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,PNSA1,PPSA1,DPSA1,FNSA1,FPSA1,WNSA1,WPSA1,RNCG,RPCG,RNCS,RPCS,TASA,TPSA,RASA,RPSA,HybRatio,FCSP3,AETA_beta,ETA_beta_s,AETA_beta_s,ETA_beta_ns,AETA_beta_ns,ETA_beta_ns_d,AETA_beta_ns_d,ETA_eta,AETA_eta,ETA_eta_L,AETA_eta_L,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n3Ring,n4Ring,n5Ring,n6Ring,nRot,RotRatio,SLogP,SMR,TopoPSA,GGI1,GGI2,Vabc,MW,AMW,WPath,WPol,Zagreb1
../datasets/input/BACE/poses/17/ligand.mol>../datasets/input/BACE/poses/18/ligand.mol,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,41.588541685560244,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,-10.562069653774927,93.74224867716885,104.30431833094377,-0.03853465630532199,0.03853465630532171,24.432667372888716,161.43210108097185,-0.005260634527631536,-0.002619195350922282,4.0710562268373,4.388670978469179,54.042645361876,29.137533661518034,-0.01497845679008325,0.014978456790083167,0.05263157894736842,0.033333333333333326,-0.059615384615384626,0.75,0.00423076923076926,-1.0,-0.06384615384615389,0.0,0.0,2.0926911097432424,0.04918034239406677,0.40731226671959053,0.006574128619377256,7.0,-0.026619343389529704,0.0,0.0,3.0035859999999985,2.5764139999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.003694581280788173,-0.10528000000000115,5.631999999999991,-10.899999999999991,0.0,-4.440892098500626e-16,17.295985223857315,14.015650064000056,-0.1574059716913352,193.0,1.0,4.0
../datasets/input/BACE/poses/18/ligand.mol>../datasets/input/BACE/poses/17/ligand.mol,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-41.588541685560244,-3.0,-1.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,10.562069653774927,-93.74224867716885,-104.30431833094377,0.03853465630532199,-0.03853465630532171,-24.432667372888716,-161.43210108097185,0.005260634527631536,0.002619195350922282,-4.0710562268373,-4.388670978469179,-54.042645361876,-29.137533661518034,0.01497845679008325,-0.014978456790083167,-0.05263157894736842,-0.033333333333333326,0.059615384615384626,-0.75,-0.00423076923076926,1.0,0.06384615384615389,0.0,0.0,-2.0926911097432424,-0.04918034239406677,-0.40731226671959053,-0.006574128619377256,-7.0,0.026619343389529704,0.0,0.0,-3.0035859999999985,-2.5764139999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.003694581280788173,0.10528000000000115,-5.631999999999991,10.899999999999991,0.0,4.440892098500626e-16,-17.295985223857315,-14.015650064000056,0.1574059716913352,-193.0,-1.0,-4.0
../datasets/input/BACE/poses/13/ligand.mol>../datasets/input/BACE/poses/17/ligand.mol,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1182986678823,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,67.07383058770006,-39.389721335706554,-106.46355192340661,0.05317618224553927,-0.053176182245538994,82.4965321501171,-23.706015599251714,0.006981075135106984,0.0034889952297496585,-4.188297971723813,-5.888304346257371,53.03079687355773,-25.346687621564172,0.027927696515678946,-0.02792769651567875,-0.017543859649122806,-0.01578947368421052,-0.020000000000000018,-0.5,-0.020000000000000018,0.0,0.0,0.0,0.0,0.29389659078008634,0.0117558636312034,0.08024288894035791,0.0032097155576143177,-0.009999999999990905,-0.009661835748792258,-1.0,0.0,1.2367929999999987,-0.13679300000000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049999999999995,2.2050000000000125,-12.890000000000015,0.0,0.0,6.299224626137459,-0.9952489679999985,-0.1830688117101884,0.0,0.0,0.0
../datasets/input/BACE/poses/17/ligand.mol>../datasets/input/BACE/poses/13/ligand.mol,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.1182986678823,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-67.07383058770006,39.389721335706554,106.46355192340661,-0.05317618224553927,0.053176182245538994,-82.4965321501171,23.706015599251714,-0.006981075135106984,-0.0034889952297496585,4.188297971723813,5.888304346257371,-53.03079687355773,25.346687621564172,-0.027927696515678946,0.02792769651567875,0.017543859649122806,0.01578947368421052,0.020000000000000018,0.5,0.020000000000000018,0.0,0.0,0.0,0.0,-0.29389659078008634,-0.0117558636312034,-0.08024288894035791,-0.0032097155576143177,0.009999999999990905,0.009661835748792258,1.0,0.0,-1.2367929999999987,0.13679300000000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6049999999999995,-2.2050000000000125,12.890000000000015,0.0,0.0,-6.299224626137459,0.9952489679999985,0.1830688117101884,0.0,0.0,0.0
../datasets/input/BACE/poses/13/ligand.mol>../datasets/input/BACE/poses/18/ligand.mol,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,-1.0,39.470243017677944,4.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,56.51176093392513,54.35252734146229,-2.15923359246284,0.014641525940217281,-0.014641525940217281,106.92919952300582,137.72608548172013,0.0017204406074754486,0.0008697998788273764,-0.11724174488651329,-1.4996333677881921,107.07344223543373,3.7908460399538626,0.012949239725595696,-0.012949239725595585,0.03508771929824561,0.017543859649122806,-0.07961538461538464,0.25,-0.015769230769230758,-1.0,-0.06384615384615389,0.0,0.0,2.3865877005233287,0.06093620602527017,0.48755515565994845,0.009783844176991574,6.990000000000009,-0.03628117913832196,-1.0,0.0,4.240378999999997,2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.003694581280788173,0.4997199999999984,7.837000000000003,-23.790000000000006,0.0,-4.440892098500626e-16,23.595209849994774,13.020401096000057,-0.3404747834015236,193.0,1.0,4.0
../datasets/input/BACE/poses/18/ligand.mol>../datasets/input/BACE/poses/13/ligand.mol,0.0,0.0,0.0,0.0,-4.0,-1.0,0.0,0.0,1.0,-39.470243017677944,-4.0,-1.0,-4.0,0.0,0.0,0.0,0.0,-4.0,0.0,-56.51176093392513,-54.35252734146229,2.15923359246284,-0.014641525940217281,0.014641525940217281,-106.92919952300582,-137.72608548172013,-0.0017204406074754486,-0.0008697998788273764,0.11724174488651329,1.4996333677881921,-107.07344223543373,-3.7908460399538626,-0.012949239725595696,0.012949239725595585,-0.03508771929824561,-0.017543859649122806,0.07961538461538464,-0.25,0.015769230769230758,1.0,0.06384615384615389,0.0,0.0,-2.3865877005233287,-0.06093620602527017,-0.48755515565994845,-0.009783844176991574,-6.990000000000009,0.03628117913832196,1.0,0.0,-4.240378999999997,-2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.003694581280788173,-0.4997199999999984,-7.837000000000003,23.790000000000006,0.0,4.440892098500626e-16,-23.595209849994774,-13.020401096000057,0.3404747834015236,-193.0,-1.0,-4.0
../datasets/input/BACE/poses/13/ligand.mol>../datasets/input/BACE/poses/15/ligand.mol,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,-141.681722786009,-1.0,-2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-19.270323093282855,2.258333141570006,21.52865623485286,-0.01280582446163353,0.012805824461633586,-26.226007403319556,-9.14061801673381,0.011378540934792014,0.005632840620700713,-7.092534036073857,-9.344792088492966,-16.4342906399022,-0.5776993118107043,-0.0022373926806864564,0.002237392680686373,0.0,0.017543859649122806,-0.07000000000000006,-1.25,0.003043478260869481,-3.0,-0.07304347826086954,0.0,0.0,-1.3715959289205202,0.010125946035308253,-0.21742154425523186,0.010822994341787129,-14.009999999999991,0.01010101010101011,-1.0,0.0,-2.1032070000000047,0.43320699999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.008241758241758254,0.12831999999999932,-4.714999999999989,-23.790000000000006,-1.0,-0.22222222222222232,-23.019827926093626,-24.995248968,-0.39930301357571185,-312.0,-4.0,-10.0
../datasets/input/BACE/poses/15/ligand.mol>../datasets/input/BACE/poses/13/ligand.mol,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,141.681722786009,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19.270323093282855,-2.258333141570006,-21.52865623485286,0.01280582446163353,-0.012805824461633586,26.226007403319556,9.14061801673381,-0.011378540934792014,-0.005632840620700713,7.092534036073857,9.344792088492966,16.4342906399022,0.5776993118107043,0.0022373926806864564,-0.002237392680686373,0.0,-0.017543859649122806,0.07000000000000006,1.25,-0.003043478260869481,3.0,0.07304347826086954,0.0,0.0,1.3715959289205202,-0.010125946035308253,0.21742154425523186,-0.010822994341787129,14.009999999999991,-0.01010101010101011,1.0,0.0,2.1032070000000047,-0.43320699999999945,0.0,0.0,0.0,0.0,0.0,0.0,-0.008241758241758254,-0.12831999999999932,4.714999999999989,23.790000000000006,1.0,0.22222222222222232,23.019827926093626,24.995248968,0.39930301357571185,312.0,4.0,10.0
../datasets/input/BACE/poses/13/ligand.mol>../datasets/input/BACE/poses/19/ligand.mol,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,-1.0,-83.91961833737992,2.0,-1.0,3.0,0.0,-1.0,0.0,-1.0,3.0,0.0,11.434069088088052,48.5884177030872,37.15434861499915,-0.009003353074343079,0.009003353074343412,35.10550772257454,94.30045049797002,0.00915823065794416,0.0045555039456335045,-3.702694861635038,-7.622638026912028,56.14139149634809,3.8810952948273894,0.005682007602799022,-0.0056820076027986055,0.03508771929824561,0.05263157894736842,-0.10125000000000006,-0.75,-0.003750000000000031,-3.0,-0.09750000000000003,0.0,0.0,0.8155998893545195,0.06741025971753434,0.13630132157655428,0.015394855359780107,-7.009999999999991,-0.018912529550827395,-1.0,0.0,0.9003789999999938,2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.43673999999999813,0.02199999999999136,-23.790000000000006,0.0,0.0,-5.723842702236311,-10.979598903999943,-0.5496049286241975,-168.0,-2.0,-4.0
../datasets/input/BACE/poses/19/ligand.mol>../datasets/input/BACE/poses/13/ligand.mol,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,1.0,83.91961833737992,-2.0,1.0,-3.0,0.0,1.0,0.0,1.0,-3.0,0.0,-11.434069088088052,-48.5884177030872,-37.15434861499915,0.009003353074343079,-0.009003353074343412,-35.10550772257454,-94.30045049797002,-0.00915823065794416,-0.0045555039456335045,3.702694861635038,7.622638026912028,-56.14139149634809,-3.8810952948273894,-0.005682007602799022,0.0056820076027986055,-0.03508771929824561,-0.05263157894736842,0.10125000000000006,0.75,0.003750000000000031,3.0,0.09750000000000003,0.0,0.0,-0.8155998893545195,-0.06741025971753434,-0.13630132157655428,-0.015394855359780107,7.009999999999991,0.018912529550827395,1.0,0.0,-0.9003789999999938,-2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.003968253968253968,-0.43673999999999813,-0.02199999999999136,23.790000000000006,0.0,0.0,5.723842702236311,10.979598903999943,0.5496049286241975,168.0,2.0,4.0
