#@@@@@@
#perturbation					DG_free_to_bound  err
FXR_77_BM2,FXR_81_BM2,-0.38,0.03
FXR_81_BM2,FXR_77_BM2,0.18,0.03
#####
FXR_73_BM2,FXR_73_BM1,-0.33,0.10
FXR_73_BM1,FXR_73_BM2,0.38,0.10
#####
FXR_74_BM2,FXR_76,1.54,0.10
FXR_76,FXR_74_BM2,-1.34,0.10
#####
Int01_BM1,Int01_BM2,0.18,0.10
Int01_BM2,Int01_BM1,-0.68,0.10
#####
FXR_85_BM2,FXR_76,0.33,0.06
FXR_76,FXR_85_BM2,0.04,0.06
#####
FXR_76,FXR_85_BM1,0.95,0.06
FXR_85_BM1,FXR_76,-0.96,0.05
#####
FXR_41_BM2,FXR_12_BM2,4.14,0.06
FXR_12_BM2,FXR_41_BM2,-6.49,0.06
#####
FXR_74_BM1,FXR_85_BM1,1.08,0.04
FXR_85_BM1,FXR_74_BM1,-1.63,0.04
#####
FXR_82_BM2,FXR_76,0.48,0.08
FXR_76,FXR_82_BM2,-0.84,0.08
#####
FXR_82_BM1,FXR_83_BM1,0.52,0.14
FXR_83_BM1,FXR_82_BM1,-0.35,0.14
#####
FXR_84_BM1,FXR_76,0.25,0.03
FXR_76,FXR_84_BM1,-0.13,0.03
#####
FXR_79_BM2B,Int01_BM2,-8.68,0.12
Int01_BM2,FXR_79_BM2B,10.32,0.12
#####
Int01_BM2,FXR_73_BM2,1.88,0.04
FXR_73_BM2,Int01_BM2,0.01,0.04
#####
FXR_12_BM2,FXR_84_BM2,0.53,0.04
FXR_84_BM2,FXR_12_BM2,-0.58,0.04
#####
FXR_74_BM2,FXR_84_BM2,0.67,0.06
FXR_84_BM2,FXR_74_BM2,-1.40,0.06
#####
FXR_76,FXR_82_BM1,-1.92,0.08
FXR_82_BM1,FXR_76,1.71,0.08
#####
FXR_84_BM2,FXR_76,0.41,0.03
FXR_76,FXR_84_BM2,0.09,0.03
#####
FXR_10_BM2,Int02,1.15,0.05
Int02,FXR_10_BM2,-2.42,0.05
#####
FXR_75_BM2,Int01_BM2,0.01,0.02
Int01_BM2,FXR_75_BM2,1.19,0.02
#####
Int01_BM1,FXR_79_BM1B,9.49,0.12
FXR_79_BM1B,Int01_BM1,-8.38,0.12
#####
FXR_76,FXR_88_BM1,-2.53,0.09
FXR_88_BM1,FXR_76,0.05,0.09
#####
FXR_76,FXR_88_BM2,-0.88,0.08
FXR_88_BM2,FXR_76,-0.48,0.08
#####
Int01_BM1,FXR_79_BM1A,4.70,0.13
FXR_79_BM1A,Int01_BM1,-11.69,0.12
#####
FXR_73_BM1,Int01_BM1,-0.45,0.04
Int01_BM1,FXR_73_BM1,0.70,0.04
#####
FXR_74_BM1,FXR_76,1.18,0.10
FXR_76,FXR_74_BM1,-0.09,0.10
#####
FXR_38_BM2,FXR_10_BM2,7.54,0.06
FXR_10_BM2,FXR_38_BM2,-10.14,0.06
#####
FXR_82_BM1,FXR_81_BM1,0.41,0.03
FXR_81_BM1,FXR_82_BM1,-0.44,0.03
#####
FXR_76,Int02,1.29,0.05
Int02,FXR_76,-3.46,0.05
#####
FXR_88_BM2,FXR_85_BM2,-0.92,0.05
FXR_85_BM2,FXR_88_BM2,0.20,0.05
#####
FXR_12_BM1,FXR_84_BM1,0.09,0.04
FXR_84_BM1,FXR_12_BM1,-0.12,0.04
#####
FXR_83_BM1,FXR_76,3.32,0.13
FXR_76,FXR_83_BM1,-0.73,0.13
#####
FXR_41_BM1,FXR_12_BM1,5.11,0.06
FXR_12_BM1,FXR_41_BM1,-7.18,0.06
#####
FXR_82_BM2,FXR_83_BM2,-1.17,0.08
FXR_83_BM2,FXR_82_BM2,0.39,0.08
#####
FXR_10_BM1,FXR_10_BM2,-1.23,0.10
FXR_10_BM2,FXR_10_BM1,-0.09,0.10
#####
FXR_10_BM2,Int01_BM2,-7.51,0.12
Int01_BM2,FXR_10_BM2,9.78,0.12
#####
Int01_BM2,FXR_79_BM2A,6.25,0.12
FXR_79_BM2A,Int01_BM2,-11.50,0.12
#####
FXR_76,FXR_89,-0.77,0.07
FXR_89,FXR_76,1.19,0.07
#####
FXR_77_BM2,FXR_76,1.40,0.13
FXR_76,FXR_77_BM2,-1.53,0.13
#####
Int01_BM1,FXR_75_BM1,0.47,0.02
FXR_75_BM1,Int01_BM1,0.38,0.02
#####
FXR_74_BM2,FXR_85_BM2,0.82,0.15
FXR_85_BM2,FXR_74_BM2,-0.14,0.14
#####
FXR_10_BM1,Int02,2.57,0.05
Int02,FXR_10_BM1,-0.28,0.06
#####
FXR_12_BM1,FXR_76,0.62,0.07
FXR_76,FXR_12_BM1,0.54,0.07
#####
FXR_76,FXR_77_BM1,-0.75,0.13
FXR_77_BM1,FXR_76,-0.09,0.13
#####
FXR_78,FXR_76,-0.26,0.13
FXR_76,FXR_78,-1.62,0.13
#####
FXR_82_BM2,FXR_81_BM2,-0.17,0.03
FXR_81_BM2,FXR_82_BM2,0.19,0.03
#####
